iter	Logloss
0	0.6568093063
1	0.6239532383
2	0.5947767423
3	0.5643873119
4	0.5371265997
5	0.5153866537
6	0.4977232556
7	0.4795721477
8	0.4631410302
9	0.4500177051
10	0.4376890329
11	0.4280633403
12	0.4170385317
13	0.4085913338
14	0.4000186933
15	0.3925773823
16	0.3862606071
17	0.3798916411
18	0.3744153243
19	0.3698693015
20	0.3649248346
21	0.3609713742
22	0.3573942428
23	0.3537606816
24	0.3506030443
25	0.3470260771
26	0.3446052392
27	0.3423703616
28	0.3399511774
29	0.3383978479
30	0.3362656052
31	0.3342793091
32	0.3323823774
33	0.3307546651
34	0.3291903452
35	0.3280112133
36	0.3267234394
37	0.3256157316
38	0.324322868
39	0.3232474895
40	0.32197369
41	0.321039001
42	0.3202385615
43	0.3192358697
44	0.318487135
45	0.3175368324
46	0.3167401074
47	0.3160258606
48	0.3155407436
49	0.3148037818
50	0.313936724
51	0.3132772167
52	0.3127175703
53	0.3120349565
54	0.3114883722
55	0.3107488875
56	0.3100672093
57	0.3096239513
58	0.3092476415
59	0.3086315198
60	0.3082091582
61	0.3077268856
62	0.307447011
63	0.3069910515
64	0.3064818824
65	0.3060443815
66	0.305769886
67	0.305412636
68	0.3049157561
69	0.3045556544
70	0.3041819488
71	0.3038878413
72	0.3035901851
73	0.3032567995
74	0.3029352889
75	0.3026283242
76	0.302105369
77	0.3017255354
78	0.3013196788
79	0.3009828031
80	0.3002277179
81	0.3000124836
82	0.2997659735
83	0.2993340815
84	0.2990685354
85	0.2987883114
86	0.2985053407
87	0.2982508021
88	0.2980280501
89	0.2978090842
90	0.2975590884
91	0.2972314662
92	0.2969446423
93	0.2966753533
94	0.2964819398
95	0.2962244801
96	0.2959849464
97	0.2958218244
98	0.2955056455
99	0.2953179494
100	0.2950392452
101	0.2947656975
102	0.2944060252
103	0.2941032257
104	0.2938428024
105	0.2936887654
106	0.2935047193
107	0.2933153739
108	0.2931579462
109	0.2930054511
110	0.2928375965
111	0.2926484757
112	0.2924203316
113	0.2922753286
114	0.29207159
115	0.2919532443
116	0.2917677787
117	0.291555006
118	0.2914134793
119	0.2912554771
120	0.2910812767
121	0.2909397764
122	0.2907667039
123	0.2905800478
124	0.2904318124
125	0.2902057243
126	0.2900295872
127	0.2899469496
128	0.289787456
129	0.2895254721
130	0.28932199
131	0.2892146297
132	0.2890509966
133	0.2888526656
134	0.2886864935
135	0.2884710914
136	0.2883373014
137	0.2880462607
138	0.2878290834
139	0.2877075163
140	0.2874467178
141	0.2873382642
142	0.2872394883
143	0.286937248
144	0.2868158187
145	0.2867224141
146	0.2865889061
147	0.2864474886
148	0.2863197527
149	0.2861206368
150	0.2860107664
151	0.2859052708
152	0.2857441001
153	0.2856589037
154	0.2855074847
155	0.285338337
156	0.2852231384
157	0.2850749939
158	0.2849461814
159	0.2847904212
160	0.2846164437
161	0.2844074455
162	0.2842264384
163	0.2840983245
164	0.2839440645
165	0.2838062947
166	0.2837181395
167	0.2835871802
168	0.2834120057
169	0.2833036924
170	0.2831473068
171	0.2830253731
172	0.2829607366
173	0.2828857064
174	0.2827970699
175	0.2826591713
176	0.2824600343
177	0.2823701074
178	0.2822580253
179	0.2821342737
180	0.2820437231
181	0.2818965267
182	0.2817497513
183	0.2815841383
184	0.2813440114
185	0.2812102745
186	0.2811280245
187	0.2809622236
188	0.2808661212
189	0.2807076095
190	0.2806131595
191	0.2805196169
192	0.2803864124
193	0.2801949639
194	0.2801065377
195	0.2799501361
196	0.279844962
197	0.2797638864
198	0.2796377422
199	0.2794536997
200	0.2793674903
201	0.2792604311
202	0.2791176013
203	0.2789507037
204	0.2786938112
205	0.278589973
206	0.2784841017
207	0.2783960998
208	0.278316588
209	0.2781863651
